Age,Workclass,Final Weight,EducationNum,Occupation,Capital Gain,capital loss,Hours per Week,Native Country,Income
34, Self-emp-not-inc,56460,9, Farming-fishing,0,2179,12, United-States,0
48, Self-emp-not-inc,243631,10, Craft-repair,7688,0,40, United-States,1
23, State-gov,56402,10, Prof-specialty,0,0,30, United-States,0
56, Local-gov,255406,9, Exec-managerial,0,0,40, United-States,0
17, Private,297246,7, Priv-house-serv,0,0,9, United-States,0
34, Private,152453,8, Craft-repair,0,0,40, Guatemala,0
37, Private,140673,10, Sales,0,0,40, United-States,1
49, Self-emp-not-inc,162856,10, Exec-managerial,0,0,40, United-States,0
55, Private,132887,9, Transport-moving,3411,0,40, Jamaica,0
25, Private,131463,13, Prof-specialty,0,0,40, United-States,0
38, Private,255621,9, Other-service,0,0,40, United-States,0
37, Private,38468,10, Adm-clerical,0,0,40, United-States,0
45, Private,88500,10, Machine-op-inspct,0,0,44, United-States,1
51, Local-gov,26832,9, Craft-repair,0,0,40, United-States,1
47, Private,52795,10, Machine-op-inspct,0,0,46, United-States,0
34, Private,314646,5, Craft-repair,0,0,40, United-States,0
27, Local-gov,322208,10, Transport-moving,0,0,40, United-States,0
45, Private,140644,9, Machine-op-inspct,0,0,40, United-States,0
21, Private,73679,10, Exec-managerial,0,0,40, United-States,0
23, Private,85088,10, Other-service,0,0,37, United-States,0
46, Private,133616,10, Adm-clerical,0,0,40, United-States,0
22, Private,192455,9, Adm-clerical,0,0,40, United-States,0
31, Private,173350,9, Other-service,0,0,30, United-States,0
33, Private,199046,13, Sales,0,0,40, United-States,0
55, Self-emp-not-inc,322691,14, Sales,3103,0,55, United-States,1
24, Private,278130,12, Adm-clerical,0,0,40, United-States,0
33, Private,127215,10, Sales,0,0,48, United-States,1
43, Private,269015,9, Machine-op-inspct,0,0,40, Germany,1
46, Private,251786,2, Other-service,0,0,40, Mexico,0
18, Private,115839,8, Adm-clerical,0,0,30, United-States,0
23, Private,277328,10, Handlers-cleaners,0,0,32, Cuba,0
44, Federal-gov,244054,10, Exec-managerial,0,0,60, United-States,1
30, Self-emp-not-inc,173854,9, Craft-repair,0,0,60, United-States,0
22, ?,376277,10, ?,0,0,35, United-States,0
45, Federal-gov,168232,13, Adm-clerical,0,0,55, United-States,1
32, Private,193260,10, Machine-op-inspct,0,0,40, Philippines,0
53, ?,64322,4, ?,0,0,40, United-States,0
27, Private,165519,9, Craft-repair,0,0,40, United-States,0
22, Private,305498,9, Sales,0,0,33, United-States,0
31, Private,236599,13, Exec-managerial,0,0,45, United-States,1
